codigo,denominacion,grupo_generico,clase
04228776,"SISTEMA DE RECIRCULACION DE AGUA PARA CULTIVO DE PECES","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04228777,"SISTEMA ACUAPONICO","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04228783,"SISTEMA DE VIDEO INFRARROJO SUBACUATICO","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04228808,"SONDA ELECTRONICA","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04228998,"SONDA PARA POZO","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04229188,SURCADOR,"04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04229283,"TANQUE PARA CALENTAR MELAZA","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04229379,TELESONDA,"04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04229474,"TRAMPA DE SEDIMENTO - MUESTREADOR DE SEDIMENTOS","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04229569,"TRATADORA DE SEMILLAS","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04229760,TRILLADORA,"04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04229950,"TRILLADORA DESGRANADORA","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04229962,"TRITURADORA FORESTAL","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04229965,"TUNEL DE NATACION RESPIROMETRO","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04229968,"VAGINA ARTIFICIAL DE VACUNO","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04229971,"VEHICULO SUBMARINO A CONTROL REMOTO","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04229974,"VETEADOR DE GRANOS","04: AGRÍCOLA Y PESQUERO","22: EQUIPO"
04640050,"BASE PARA EQUIPO METEOROLOGICO","04: AGRÍCOLA Y PESQUERO","64: MOBILIARIO"
04642150,"BOTELLA NYSKIN","04: AGRÍCOLA Y PESQUERO","64: MOBILIARIO"
04642450,"CAMARA DE FUMIGACION","04: AGRÍCOLA Y PESQUERO","64: MOBILIARIO"
04642525,"ESTANTE DE ACERO INOXIDABLE","04: AGRÍCOLA Y PESQUERO","64: MOBILIARIO"
04642600,"ESTANTE DE ALUMINIO","04: AGRÍCOLA Y PESQUERO","64: MOBILIARIO"
04642750,"JUEGO DE TAMICES","04: AGRÍCOLA Y PESQUERO","64: MOBILIARIO"
04643650,"MIRA TOPOGRAFICA","04: AGRÍCOLA Y PESQUERO","64: MOBILIARIO"
04644550,"MUESTRADOR DE GRANOS","04: AGRÍCOLA Y PESQUERO","64: MOBILIARIO"
04645450,"MUESTREADOR DE AGUA PARA POZO","04: AGRÍCOLA Y PESQUERO","64: MOBILIARIO"
04646125,"MUESTREADOR DE PLANCTON","04: AGRÍCOLA Y PESQUERO","64: MOBILIARIO"
04646350,"MUESTRADOR HIDROLOGICO","04: AGRÍCOLA Y PESQUERO","64: MOBILIARIO"
04646800,"ROSETA MUESTREADORA DE AGUA","04: AGRÍCOLA Y PESQUERO","64: MOBILIARIO"
04647250,"SOMBRILLA DE TERMOMETRO","04: AGRÍCOLA Y PESQUERO","64: MOBILIARIO"
04648150,"TANQUE CRIOGENICO DE METAL","04: AGRÍCOLA Y PESQUERO","64: MOBILIARIO"
04648262,"TANQUE DE ACERO INOXIDABLE (MAYOR A 1/4 UIT)","04: AGRÍCOLA Y PESQUERO","64: MOBILIARIO"
04648375,"TANQUE DE AIREACION","04: AGRÍCOLA Y PESQUERO","64: MOBILIARIO"
04648600,"TANQUE METALICO PARA TRANSPORTE DE ALEVINOS","04: AGRÍCOLA Y PESQUERO","64: MOBILIARIO"
04649050,"TRAMPA DE ESPORA ELECTRICA","04: AGRÍCOLA Y PESQUERO","64: MOBILIARIO"
04649950,VELETA,"04: AGRÍCOLA Y PESQUERO","64: MOBILIARIO"
11220001,"UNIDAD DE VENTILACION DE EQUIPOS DE MEDICION","11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11220025,"AEROTERMO DISIPADOR DE CALOR","11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11220050,"ALIMENTADOR DE AIRE SECO","11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11220248,"ARMARIO DE METAL PARA CONSERVACION","11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11220347,"BAÑO CIRCULANTE","11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11220396,"BAÑO TERMOSTATICO","11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11220446,CALEFACTOR,"11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11220512,CALEFON,"11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11220578,"CAMARA DE CADAVERES","11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11220710,"CAMARA DE REFRIGERACION","11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11220842,"CAMARA FRIGORIFICA","11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11221040,"CAMARA FRIGORIFICA CON PUERTA DE VIDRIO","11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11221139,CLIMATIZADOR,"11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11221238,"COMPRESOR DOMESTICO","11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11221634,"COMPRESOR INDUSTRIAL","11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11221678,"CONGELADOR (OTROS)","11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11221722,"CONGELADOR CONSERVADOR DE ORGANOS","11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11221766,"CONGELADOR DE DIOXIDO DE CARBONO (CO2)","11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11221810,"CONGELADOR DE GLOBULOS ROJOS","11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11221854,"CONGELADOR DE NITROGENO","11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11221898,"CONGELADOR DE PLASMA","11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11221920,"CONGELADOR FOTOVOLTAICO","11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11221942,"CONGELADOR PARA REACTIVOS","11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11221986,"CONGELADOR PARA SANGRE","11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11222030,"CONGELADORA ELECTRICA HORIZONTAL","11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11222426,"CONGELADORA ELECTRICA VERTICAL","11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11222624,"CONSERVADOR PARA SANGRE","11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11222673,"CORTINA DE AIRE","11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11222723,"CORTINA DE ENFRIAMIENTO","11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11222747,DESHUMEDECEDOR,"11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11222822,"DESHUMEDECEDOR PARA AMBIENTE TIPO COMERCIAL","11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11223218,"DESHUMEDECEDOR PARA AMBIENTE TIPO INDUSTRIAL","11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11223317,"ENFRIADOR DE AIRE","11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11223366,"EQUIPO DE AIRE ACONDICIONADO DE PRECISION","11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11223416,"EQUIPO DE CONGELACION DE EMBRIONES","11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11223465,"EQUIPO DE REFRIGERACION PARA MAGNETO","11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11223515,"EQUIPO PARA AIRE ACONDICIONADO PORTATIL","11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11223614,"EQUIPO PARA AIRE ACONDICIONADO TIPO DOMESTICO","11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11224010,"EQUIPO PARA AIRE ACONDICIONADO TIPO INDUSTRIAL","11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11224208,"EQUIPO PURIFICADOR DE AMBIENTE","11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11224307,"ESTERILIZADOR DE AIRE","11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11224406,EVAPORADOR,"11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11224802,"EXTRACTOR DE AIRE","11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11225198,"EXTRACTOR PARA VAHOS INDUSTRIAL","11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11225214,FRIGOBAR,"11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11225231,HUMEDECEDOR,"11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11225264,HUMIDIFICADOR,"11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11225330,"HUMIDIFICADOR ULTRASONICO","11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11225396,"INYECTOR DE AIRE","11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11225462,"IONIZADOR DE AMBIENTE","11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11225506,"MESA PARA ENFRIAMIENTO DE AGUA","11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11225550,"PLANCHA DE ENFRIAMIENTO","11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11225557,"REFRIGERADOR CONGELADOR FOTOVOLTAICO","11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11225564,"REFRIGERADOR FOTOVOLTAICO","11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11225572,"REFRIGERADOR PARA SANGRE","11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11225594,"REFRIGERADORA A GAS","11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11225990,"REFRIGERADORA A KEROSENE","11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11226039,"REFRIGERADORA CONGELADORA","11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11226089,"REFRIGERADORA CONGELADORA PORTATIL","11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11226188,"REFRIGERADORA CONSERVADORA DE MEDICAMENTOS","11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11226386,"REFRIGERADORA ELECTRICA DOMESTICA","11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11226782,"REFRIGERADORA ELECTRICA INDUSTRIAL","11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11226881,"SISTEMA DE CONTROL PARA JAULAS INDIVIDUALES VENTILADAS - IVC","11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11226980,"SISTEMA ENFRIADOR DE AGUA","11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11226981,"SISTEMA DE ENFRIAMIENTO","11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11227178,TERMA,"11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11227310,"TUNEL DE CONGELAMIENTO (OTROS)","11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11227442,"TUNEL DE CONGELAMIENTO RAPIDO INDIVIDUAL - TUNEL IQF","11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11227508,ULTRACONGELADORA,"11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11227541,"UNIDAD REFRIGERADORA PARA BAÑO TERMOSTATICO","11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11227574,"VENTILADOR ELECTRICO INDUSTRIAL","11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11227970,"VENTILADOR ELECTRICO PARA MESA O DE PIE","11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11228366,"VENTILADOR ELECTRICO PARA PARED","11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11228762,"VENTILADOR ELECTRICO PARA TECHO","11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11229158,"VENTILADOR ELECTRICO TIPO COLUMNA O TORRE","11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11229224,"VINOTECA TERMOELECTRICA","11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11229290,"VITRINA EXHIBIDORA REFRIGERADA - VISICOOLER","11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11229422,"VITRINA EXHIBIDORA REFRIGERADA TIPO ABIERTO","11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11229554,"VITRINA FRIGORIFICA","11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
11229950,"VITRINA CONSERVADORA DE ALIMENTOS","11: AIRE ACONDICIONADO Y REFRIGERACIÓN","22: EQUIPO"
18780025,BUBALOS,"18: ANIMALES","78: PRODUCCIÓN Y SEGURIDAD"
18780050,CAMELIDOS,"18: ANIMALES","78: PRODUCCIÓN Y SEGURIDAD"
18782030,"GANADO CAPRINO","18: ANIMALES","78: PRODUCCIÓN Y SEGURIDAD"
18784010,"GANADO EQUINO","18: ANIMALES","78: PRODUCCIÓN Y SEGURIDAD"
18785990,"GANADO OVINO","18: ANIMALES","78: PRODUCCIÓN Y SEGURIDAD"
18786980,"GANADO PORCINO","18: ANIMALES","78: PRODUCCIÓN Y SEGURIDAD"
18787970,"GANADO VACUNO","18: ANIMALES","78: PRODUCCIÓN Y SEGURIDAD"
18789950,PERROS,"18: ANIMALES","78: PRODUCCIÓN Y SEGURIDAD"
25220001,"LAVAMANOS PORTATIL","25: ASEO Y LIMPIEZA","22: EQUIPO"
25220050,"ASPIRADORA ELECTRICA","25: ASEO Y LIMPIEZA","22: EQUIPO"
25220403,CALANDRIA,"25: ASEO Y LIMPIEZA","22: EQUIPO"
25220425,"CALENTADOR DE CERA DEPILATORIA","25: ASEO Y LIMPIEZA","22: EQUIPO"
25220447,"CENTRO INTEGRAL DE BELLEZA PORTATIL","25: ASEO Y LIMPIEZA","22: EQUIPO"
25220491,"CEPILLO MOLDEADOR ALISADOR PARA CABELLO","25: ASEO Y LIMPIEZA","22: EQUIPO"
25220580,"CORTADOR ELECTRICO DE PELO ANIMAL","25: ASEO Y LIMPIEZA","22: EQUIPO"
25221022,"DEPILADORA ELECTRICA","25: ASEO Y LIMPIEZA","22: EQUIPO"
25221464,"EQUIPO CLORADOR","25: ASEO Y LIMPIEZA","22: EQUIPO"
25221817,HIDROLAVADORA,"25: ASEO Y LIMPIEZA","22: EQUIPO"
25221905,"LAVA BOTAS","25: ASEO Y LIMPIEZA","22: EQUIPO"
25221994,"LAVADORA DE ALFOMBRA","25: ASEO Y LIMPIEZA","22: EQUIPO"
25222171,"LAVADORA ELECTRICA DOMESTICA","25: ASEO Y LIMPIEZA","22: EQUIPO"
25222879,"LAVADORA ELECTRICA INDUSTRIAL","25: ASEO Y LIMPIEZA","22: EQUIPO"
25223055,"LAVADORA SECADORA AUTOMATICA","25: ASEO Y LIMPIEZA","22: EQUIPO"
25223143,"LIMPIAFONDO AUTOMATICO DE PISCINA","25: ASEO Y LIMPIEZA","22: EQUIPO"
25223232,"LUSTRADORA ASPIRADORA","25: ASEO Y LIMPIEZA","22: EQUIPO"
25223586,"LUSTRADORA ELECTRICA DOMESTICA","25: ASEO Y LIMPIEZA","22: EQUIPO"
25224293,"LUSTRADORA ELECTRICA INDUSTRIAL","25: ASEO Y LIMPIEZA","22: EQUIPO"
25225000,"MAQUINA ELECTRICA PARA AFEITAR","25: ASEO Y LIMPIEZA","22: EQUIPO"
25225707,"MAQUINA ELECTRICA PARA CORTAR CABELLO","25: ASEO Y LIMPIEZA","22: EQUIPO"
25226060,"MAQUINA PARA ACEITAR PISTA DE BOLOS","25: ASEO Y LIMPIEZA","22: EQUIPO"
25226414,"MAQUINA PLANCHADORA INDUSTRIAL","25: ASEO Y LIMPIEZA","22: EQUIPO"
25226590,"MESA DE PLANCHADO UNIVERSAL","25: ASEO Y LIMPIEZA","22: EQUIPO"
25226767,"MODELADOR MULTIFUNCIONAL PARA CABELLO/PLANCHA PARA CABELLO","25: ASEO Y LIMPIEZA","22: EQUIPO"
25227121,"PLANCHA ELECTRICA","25: ASEO Y LIMPIEZA","22: EQUIPO"
25227829,"RIZADOR ELECTRICO PARA CABELLO","25: ASEO Y LIMPIEZA","22: EQUIPO"
25228064,"SANITARIO PORTATIL","25: ASEO Y LIMPIEZA","22: EQUIPO"
25228122,"SAUNA FACIAL","25: ASEO Y LIMPIEZA","22: EQUIPO"
25228181,"SECADOR ALISADOR PARA CABELLO","25: ASEO Y LIMPIEZA","22: EQUIPO"
25228299,"SECADORA DE CABELLO (MAYOR A 1/4 UIT)","25: ASEO Y LIMPIEZA","22: EQUIPO"
25228536,"SECADORA DE MANOS","25: ASEO Y LIMPIEZA","22: EQUIPO"
