                    CATÁLOGO NACIONAL DE BIENES MUEBLES DEL ESTADO


GRUPO GENÉRICO    04: AGRÍCOLA Y PESQUERO
CLASE             22: EQUIPO

 N°     CÓDIGO                                             DENOMINACIÓN   UNIDAD
160    11223416   EQUIPO DE CONGELACION DE EMBRIONES                    Unidad
161    11223465   EQUIPO DE REFRIGERACION PARA MAGNETO                  Unidad
162    11223515   EQUIPO PARA AIRE ACONDICIONADO PORTATIL               Unidad
163    11223614   EQUIPO PARA AIRE ACONDICIONADO TIPO DOMESTICO         Unidad
164    11224010   EQUIPO PARA AIRE ACONDICIONADO TIPO INDUSTRIAL                 Unidad
165    11224208   EQUIPO PURIFICADOR DE AMBIENTE                                 Unidad
166    11224307   ESTERILIZADOR DE AIRE                                          Unidad
167    11224406   EVAPORADOR                                                     Unidad
168    11224802   EXTRACTOR DE AIRE                                              Unidad
169    11225198   EXTRACTOR PARA VAHOS INDUSTRIAL                                Unidad
170    11225214   FRIGOBAR                                                       Unidad
171    11225231   HUMEDECEDOR                                                    Unidad
172    11225264   HUMIDIFICADOR                                                  Unidad
173    11225330   HUMIDIFICADOR ULTRASONICO                                      Unidad
174    11225396   INYECTOR DE AIRE                                               Unidad
175    11225462   IONIZADOR DE AMBIENTE                                          Unidad
176    11225506   MESA PARA ENFRIAMIENTO DE AGUA                                 Unidad
177    11225550   PLANCHA DE ENFRIAMIENTO                                        Unidad
178    11225557   REFRIGERADOR CONGELADOR FOTOVOLTAICO                           Unidad
179    11225564   REFRIGERADOR FOTOVOLTAICO                                      Unidad
180    11225572   REFRIGERADOR PARA SANGRE                                       Unidad
181    11225594   REFRIGERADORA A GAS                                            Unidad
182    11225990   REFRIGERADORA A KEROSENE                                       Unidad
183    11226039   REFRIGERADORA CONGELADORA                                      Unidad
184    11226089   REFRIGERADORA CONGELADORA PORTATIL                             Unidad
185    11226188   REFRIGERADORA CONSERVADORA DE MEDICAMENTOS                     Unidad
186    11226386   REFRIGERADORA ELECTRICA DOMESTICA                              Unidad
187    11226782   REFRIGERADORA ELECTRICA INDUSTRIAL                             Unidad
188    11226881   SISTEMA DE CONTROL PARA JAULAS INDIVIDUALES VENTILADAS - IVC   Unidad
189    11226980   SISTEMA ENFRIADOR DE AGUA                                      Unidad
190    11226981   SISTEMA DE ENFRIAMIENTO                                        Unidad
191    11227178   TERMA                                                          Unidad
192    11227310   TUNEL DE CONGELAMIENTO (OTROS)                                 Unidad
193    11227442   TUNEL DE CONGELAMIENTO RAPIDO INDIVIDUAL - TUNEL IQF           Unidad
194    11227508   ULTRACONGELADORA                                               Unidad
195    11227541   UNIDAD REFRIGERADORA PARA BAÑO TERMOSTATICO                    Unidad
196    11227574   VENTILADOR ELECTRICO INDUSTRIAL                                Unidad
197    11227970   VENTILADOR ELECTRICO PARA MESA O DE PIE                        Unidad
198    11228366   VENTILADOR ELECTRICO PARA PARED                                Unidad
199    11228762   VENTILADOR ELECTRICO PARA TECHO                                Unidad
200    11229158   VENTILADOR ELECTRICO TIPO COLUMNA O TORRE                      Unidad
201    11229224   VINOTECA TERMOELECTRICA                                        Unidad
202    11229290   VITRINA EXHIBIDORA REFRIGERADA - VISICOOLER                    Unidad
203    11229422   VITRINA EXHIBIDORA REFRIGERADA TIPO ABIERTO                    Unidad
204    11229554   VITRINA FRIGORIFICA                                            Unidad
205    11229950   VITRINA CONSERVADORA DE ALIMENTOS                              Unidad

GRUPO GENÉRICO    18: ANIMALES
CLASE             78: PRODUCCIÓN Y SEGURIDAD

 N°     CÓDIGO                                            DENOMINACIÓN           UNIDAD
206    18780025   BUBALOS                                                        Unidad
207    18780050   CAMELIDOS                                                      Unidad
208    18782030   GANADO CAPRINO                                                 Unidad
209    18784010   GANADO EQUINO                                                  Unidad
210    18785990   GANADO OVINO                                                   Unidad
211    18786980   GANADO PORCINO                                                 Unidad
212    18787970   GANADO VACUNO                                                  Unidad
213    18789950   PERROS                                                         Unidad

GRUPO GENÉRICO    25: ASEO Y LIMPIEZA
CLASE             22: EQUIPO

 N°     CÓDIGO                                            DENOMINACIÓN           UNIDAD
214    25220001   LAVAMANOS PORTATIL                                             Unidad
215    25220050   ASPIRADORA ELECTRICA                                         Unidad
216    25220403   CALANDRIA                                                    Unidad
217    25220425   CALENTADOR DE CERA DEPILATORIA                               Unidad
218    25220447   CENTRO INTEGRAL DE BELLEZA PORTATIL                          Unidad
219    25220491   CEPILLO MOLDEADOR ALISADOR PARA CABELLO                      Unidad
220    25220580   CORTADOR ELECTRICO DE PELO ANIMAL                            Unidad
221    25221022   DEPILADORA ELECTRICA                                         Unidad
222    25221464   EQUIPO CLORADOR                                              Unidad
223    25221817   HIDROLAVADORA                                                Unidad
224    25221905   LAVA BOTAS                                                   Unidad
225    25221994   LAVADORA DE ALFOMBRA                                         Unidad
226    25222171   LAVADORA ELECTRICA DOMESTICA                                 Unidad
227    25222879   LAVADORA ELECTRICA INDUSTRIAL                                Unidad
228    25223055   LAVADORA SECADORA AUTOMATICA                                 Unidad
229    25223143   LIMPIAFONDO AUTOMATICO DE PISCINA                            Unidad
230    25223232   LUSTRADORA ASPIRADORA                                        Unidad
231    25223586   LUSTRADORA ELECTRICA DOMESTICA                               Unidad
232    25224293   LUSTRADORA ELECTRICA INDUSTRIAL                              Unidad
233    25225000   MAQUINA ELECTRICA PARA AFEITAR                               Unidad
234    25225707   MAQUINA ELECTRICA PARA CORTAR CABELLO                        Unidad
235    25226060   MAQUINA PARA ACEITAR PISTA DE BOLOS                          Unidad
236    25226414   MAQUINA PLANCHADORA INDUSTRIAL                               Unidad
237    25226590   MESA DE PLANCHADO UNIVERSAL                                  Unidad
238    25226767   MODELADOR MULTIFUNCIONAL PARA CABELLO/PLANCHA PARA CABELLO   Unidad
239    25227121   PLANCHA ELECTRICA                                            Unidad
240    25227829   RIZADOR ELECTRICO PARA CABELLO                               Unidad
241    25228064   SANITARIO PORTATIL                                           Unidad
242    25228122   SAUNA FACIAL                                                 Unidad
243    25228181   SECADOR ALISADOR PARA CABELLO                                Unidad
244    25228299   SECADORA DE CABELLO (MAYOR A 1/4 UIT)                        Unidad
245    25228536   SECADORA DE MANOS                                            Unidad
246    25229243   SECADORA ELECTRICA PARA ROPA                                 Unidad
247    25229596   SECADORA INDUSTRIAL PARA ROPA                                Unidad
248    25229950   SILLON DE METAL PARA PELUQUERIA                              Unidad
249    25229966   VAPORIZADOR AEREO/DE PARED PARA CABELLO                      Unidad
250    25229974   VAPORIZADOR FACIAL                                           Unidad
251    25229982   VAPORIZADOR PEDESTAL/DE PIE PARA CABELLO                     Unidad

GRUPO GENÉRICO    25: ASEO Y LIMPIEZA
CLASE             64: MOBILIARIO

 N°     CÓDIGO                                         DENOMINACIÓN            UNIDAD
252    25640001   SILLON DE METAL PARA PELUQUERIA                              Unidad
253    25641429   CAMILLA PARA MAQUILLAJE                                      Unidad
254    25642143   CARRO DE METAL AYUDANTE PARA PELUQUERIA                      Unidad
255    25642857   MESITA PARA MANICURA                                         Unidad
256    25644285   SILLA ERGONOMICA PARA MASAJES                                Unidad
257    25645713   SILLON MASAJEADOR PARA PEDICURA                              Unidad
258    25647141   SILLON PARA LAVAR CABELLO                                    Unidad
259    25648569   SILLON PARA MAQUILLAJE                                       Unidad
260    25649284   SILLON PARA PEDICURA                                         Unidad

GRUPO GENÉRICO    32: COCINA Y COMEDOR
CLASE             22: EQUIPO

 N°     CÓDIGO                                        DENOMINACIÓN             UNIDAD
261    32220001   VAPORIZADOR DE ALIMENTOS                                     Unidad
262    32220002   LICUADORA MANUAL                                             Unidad
263    32220003   DESHIDRATADOR DE ALIMENTOS                                   Unidad
264    32220013   ABRELATA INDUSTRIAL                                          Unidad
265    32220025   AUTOCLAVE                                                    Unidad
266   32220050   BATIDORA ELECTRICA                                Unidad
267   32220404   BATIDORA MECANICA                                 Unidad
268   32220580   BOLEADORA DE MASA                                 Unidad
269   32220590   CALENTADOR DE INMERSION                           Unidad
270   32220668   CAFETERA (MAYOR A 1/4 UIT)                        Unidad
271   32220757   CAFETERA ELECTRICA                                Unidad
272   32221111   CALENTADOR A GAS                                  Unidad
273   32221228   CAMARA DE AHUMADO                                 Unidad
274   32221345   CAMARA DE OREADO                                  Unidad
275   32221464   CAMPANA EXTRACTORA ELECTRICA                      Unidad
276   32221552   CENTRIFUGA DE VERDURAS                            Unidad
277   32221641   COCINA (OTRAS)                                    Unidad
278   32221818   COCINA A GAS                                      Unidad
279   32222171   COCINA A KEROSENE                                 Unidad
280   32222348   COCINA A PETROLEO                                 Unidad
281   32222525   COCINA ELECTRICA                                  Unidad
282   32222702   COCINA PARA HOT DOG                               Unidad
283   32222790   CONTENEDOR ISOTERMICO                             Unidad
284   32222879   CORTADORA DE ALIMENTOS                            Unidad
285   32223055   CORTADORA DE EMBUTIDOS - REBANADORA               Unidad
286   32223232   CORTADORA DE JAMONADA                             Unidad
287   32223409   COSERVADOR ELECTRICO PARA HELADOS                 Unidad
288   32223586   CUCHILLO ELECTRICO                                Unidad
289   32223762   DISPENSADOR DE SALSAS                             Unidad
290   32223939   ESTUFA ELECTRICA                                  Unidad
291   32224116   EXPRIMIDOR ELECTRICO                              Unidad
292   32224293   EXTRACTOR DE JUGOS                                Unidad
293   32224646   FREIDORA                                          Unidad
294   32224823   FUENTE DE CHOCOLATE                               Unidad
295   32225000   HERVIDOR ELECTRICO                                Unidad
296   32225354   HORNILLA ELECTRICA                                Unidad
297   32225707   HORNO                                             Unidad
298   32225795   HORNO ELECTRICO                                   Unidad
299   32225884   HORNO ELECTRICO PASTELERO                         Unidad
300   32226061   HORNO MICROONDAS                                  Unidad
301   32226149   HORNO PARA POLLO A LA BRASA                       Unidad
302   32226238   LAVADORA DE VAJILLA                               Unidad
303   32226326   LAVAVASOS MANUAL                                  Unidad
304   32226414   LICUADORA ELECTRICA                               Unidad
305   32226590   LICUADORA INDUSTRIAL                              Unidad
306   32226768   LICUO EXTRACTOR                                   Unidad
307   32227121   MAQUINA AMASADORA - SOBADORA                      Unidad
308   32227475   MAQUINA CHUPETERA                                 Unidad
309   32227651   MAQUINA DIVISORA - CORTADORA DE MASA              Unidad
310   32227656   MAQUINA ELECTRICA PARA CORTAR PAN                 Unidad
311   32227661   MAQUINA EXPENDEDORA DE BEBIDAS CALIENTES          Unidad
312   32227666   MAQUINA EXPENDEDORA DE BEBIDAS FRIAS              Unidad
313   32227669   MAQUINA EXPENDEDORA DE HELADOS - BARQUILLERA      Unidad
314   32227673   MAQUINA INDUSTRIAL PELADORA DE ALIMENTOS          Unidad
315   32227695   MAQUINA INDUSTRIAL PICADORA DE ALIMENTOS          Unidad
316   32227717   MAQUINA PARA CAFE                                 Unidad
317   32227724   MAQUINA PARA MOLER Y TRITURAR GRANOS O VERDURAS   Unidad
318   32227731   MAQUINA RALLADORA DE QUESO                        Unidad
319   32227739   MARMITA                                           Unidad
320   32227784   MOLINO ELECTRICO PARA CAFE                        Unidad
321   32227829   OLLA ARROCERA ELECTRICA                           Unidad
322   32227917   OLLA DE PRESION PARA BROASTER                     Unidad
323   32228006   PARRILLERA A GAS                                  Unidad
324   32228182   PARRILLERA ELECTRICA                              Unidad
325   32228299   PELADORA DE PAPAS INDUSTRIAL                      Unidad
326   32228416   PICADORA DE PAPAS INDUSTRIAL                      Unidad
327    32228536   PICADOR ELECTRICO                                     Unidad
328    32228564   PICATODO DE ALIMENTOS                                 Unidad
329    32228565   PISTOLA AHUMADORA                                     Unidad
330    32228712   PLANCHA FREIDORA                                      Unidad
331    32228800   PRENSA PAPAS (MAYOR A 1/4 UIT)                        Unidad
332    32228889   PROCESADOR DE ALIMENTOS                               Unidad
333    32228977   QUEQUERA ELECTRICA                                    Unidad
334    32229065   SANDWICHERA                                           Unidad
335    32229124   SARTEN ELECTRICA                                      Unidad
336    32229183   SARTEN VOLCABLE                                       Unidad
337    32229212   TEMPLADOR DE CHOCOLATE                                Unidad
338    32229213   TERMO ELECTRICO                                       Unidad
339    32229214   TRITURADOR DE CHOCOLATE                               Unidad
340    32229228   TERMO HERVIDOR ELECTRICO                              Unidad
341    32229235   TERMOSTATO DE INMERSION - RONER                       Unidad
342    32229243   TETERA ELECTRICA                                      Unidad
343    32229419   TINA QUESERA                                          Unidad
344    32229596   TOSTADOR ELECTRICO                                    Unidad
345    32229684   TOSTADORA INDUSTRIAL                                  Unidad
346    32229728   TRAMPA ELECTRICA PARA MOSCAS                          Unidad
347    32229750   TRITURADOR MIXER SEMI INDUSTRIAL                      Unidad
348    32229773   URNA PARA LIQUIDOS                                    Unidad
349    32229950   WAFLERA                                               Unidad

GRUPO GENÉRICO    32: COCINA Y COMEDOR
CLASE             64: MOBILIARIO

 N°     CÓDIGO                                           DENOMINACIÓN   UNIDAD
350    32640050   ALACENA                                               Unidad
351    32640462   ALACENA DE MELAMINA                                   Unidad
352    32640875   APARADOR DE MADERA                                    Unidad
353    32641700   AZAFATES Y CHAROLAS DE METAL (MAYOR A 1/4 UIT)        Unidad
354    32643350   CAMPANA EXTRACTORA METALICA                           Unidad
355    32643384   CARRITO ANTICUCHERO                                   Unidad
356    32643418   CARRITO EMOLIENTERO                                   Unidad
357    32643435   CARRITO PARA ALGODON DE AZUCAR                        Unidad
358    32643453   CARRITO PARA PALOMITAS DE MAIZ – POPCORN              Unidad
359    32643487   CARRITO PARA POSTRES                                  Unidad
360    32643521   CARRITO SALCHIPAPERO/POLLIPAPERO                      Unidad
361    32643556   CARRITO SANGUCHERO                                    Unidad
362    32643762   GABINETE PARA CONSERVAR ALIMENTOS                     Unidad
363    32644175   GABINETE PARA REFRIGERADORA                           Unidad
364    32645000   HIELERA DE METAL (MAYOR A 1/4 UIT)                    Unidad
365    32645137   LECHERA (MAYOR A 1/4 UIT)                             Unidad
366    32645275   MESA METALICA PARA CONSERVAR ALIMENTOS CALIENTES      Unidad
367    32645550   MESA METALICA PARA CONSERVAR ALIMENTOS FRIOS          Unidad
368    32645825   MOSTRADOR DE MADERA PARA COCINA                       Unidad
369    32646237   MOSTRADOR DE MELAMINA PARA COCINA                     Unidad
370    32646650   MOSTRADOR DE METAL PARA COCINA                        Unidad
371    32646787   MUEBLE METALICO BARRA PARA ENSALADAS - SALAD BAR      Unidad
372    32646924   MUEBLE METALICO LINEAL DE AUTOSERVICIO - TAVOLA       Unidad
373    32647062   PARRILLERO                                            Unidad
374    32647475   PORONGO TERMICO METALICO                              Unidad
375    32648300   REPOSTERO DE MADERA                                   Unidad
376    32648712   REPOSTERO DE MELAMINA                                 Unidad
377    32649125   REPOSTERO DE METAL Y MADERA                           Unidad
378    32649537   REPOSTERO DE METAL Y MELAMINA                         Unidad
379    32649950   REPOSTERO METALICO                                    Unidad
380    32649974   VITRINA CALEFACTORA                                   Unidad

GRUPO GENÉRICO    39: CULTURA Y ARTE
CLASE              22: EQUIPO

 N°      CÓDIGO                                  DENOMINACIÓN   UNIDAD
381     39220001   ARMONICA                                     Unidad
382     39220002   BIRIMBAO                                     Unidad
383     39220003   CHARANGO ELECTROACUSTICO                     Unidad
384     39220004   CHILLADOR                                    Unidad
385     39220005   MAMAQUENA                                    Unidad
386     39220006   MANDOLINA ELECTROACUSTICA                    Unidad
387     39220007   CHECO                                        Unidad
388     39220008   PINKULLO                                     Unidad
389     39220009   REPENIQUE                                    Unidad
390     39220010   SILBATO DE SAMBA TRES TONOS                  Unidad
391     39220050   ACORDEON                                     Unidad
392     39220280   AEROGRAFO                                    Unidad
393     39220395   ANGEL                                        Unidad
394     39220452   ARMONIO - MELODIO DE MADERA                  Unidad
395     39220510   ARPA                                         Unidad
396     39220519   BAJO                                         Unidad
397     39220528   BAJO BARITONO                                Unidad
398     39220538   BAJO ELECTRICO                               Unidad
399     39220567   BANDURRIA                                    Unidad
400     39220596   BANJO                                        Unidad
401     39220625   BARITONO                                     Unidad
402     39220683   BASTO                                        Unidad
403     39220741   BATERIA MUSICAL                              Unidad
404     39220856   BOMBARDINO                                   Unidad
405     39220913   BOMBARDON                                    Unidad
406     39220971   BOMBO                                        Unidad
407     39221086   BONGO                                        Unidad
408     39221143   BUGLE                                        Unidad
409     39221258   CAJA CHINA                                   Unidad
410     39221286   CAJITA RITMICA AFROPERUANA                   Unidad
411     39221315   CAJON DE MADERA PARA MUSICA                  Unidad
412     39221372   CALIZ (MAYOR A 1/4 UIT)                      Unidad
413     39221431   CAMPANA METALICA                             Unidad
414     39221459   CAMPANAS TUBULARES                           Unidad
415     39221488   CAMPANELLA                                   Unidad
416     39221502   CARRILLON ALTO                               Unidad
417     39221516   CARRILLON SOPRANO                            Unidad
418     39221530   CASCABEL                                     Unidad
419     39221545   CASTAÑUELAS                                  Unidad
420     39221573   CELLESTA                                     Unidad
421     39221602   CENCERRO                                     Unidad
422     39221632   CHAPCHAS                                     Unidad
423     39221662   CHARANGO                                     Unidad
424     39221777   CHEMBALO                                     Unidad
425     39221892   CITACA                                       Unidad
426     39222122   CLARIN                                       Unidad
427     39222352   CLARINETE                                    Unidad
428     39222467   CLARON                                       Unidad
429     39222525   CLAVE MUSICAL                                Unidad
430     39222583   CLAVICORDIO                                  Unidad
431     39222813   CLAVINOVA                                    Unidad
432     39222870   COCOS DE PERCUSION                           Unidad
433     39222928   CONGA                                        Unidad
